Title,Location,Salary,Summary
Senior Director Program Management- Data Product Development,"Foster City, CA",NA,"PMI Agile Certified Practitioner (PMI-ACP®), Certified ScrumMaster (CSM),Scaled Agile Framework Program Consultant (SAFe SPC), Certified Stanford Advanced…"
"Senior Director/Director – Integration, Product Management –...","San Mateo, CA 94404",NA,Deep understanding of product management operational metrics and KPIs to provide visibility and accountability across the solution development lifecycle.
Software Engineer - Full Stack,"San Francisco, CA",NA,"Collaborate closely with product, design, and engineering teams to design, build and launch new product features."
Senior Software Development Engineer in Test - Product,"San Francisco, CA",NA,"Experience in startups and/or modern-day software engineering teams where developers and SDETs work together on features, and participate in design review."
Staff Software Engineer-Data Product Development NCG,"Foster City, CA",NA,"Present technical solutions, capabilities, considerations, and features in business. The role is for a self-motivated individual with expert software…"
Chief Systems Architect- Data Product Development,"Foster City, CA",NA,Mentors to builds world-class high-performing engineering teams. Enables the expansion of Visa’s data products and solutions.
"Senior Director, Neighborhood Seating/Program Management","San Francisco, CA 94105 (Financial District area)",NA,"Provide metrics as assigned to measure, document and report out on the program. The Global Program Senior Director is responsible for planning, change…"
Front-End Engineer,"San Francisco, CA",NA,You will work closely with a product manager and the head of a business department to achieve that department's goals. You like to release and iterate quickly.
Unix Systems Engineer,"San Francisco Bay Area, CA",NA,"Demonstrated experience in leading committees, working groups and task forces to promote and develop standards in support of operations, engineering, and…"
Director of Web Analytics,"San Francisco, CA 94103 (South Of Market area)",NA,"Work with the Product team to translate business requirements into new products; Educate Accounts, Sales, and Engineering teams on various analytics software to…"
Engineering Director - Front End/React,"San Francisco, CA",NA,"You will have a set of extraordinarily talented and dedicated peers, all the way from engineering and QA to product management and customer support."
Director of Engineering Program Management,"San Francisco, CA",NA,PCH is seeking a seasoned and proactive Director of Engineering Program Management with demonstrated leadership and hardware program management experience…
Program Management Director,"Redwood City, CA 94065",NA,We are looking for a seasoned Technical Program Manager with a strong product development background to join our efforts providing world-class cryptography…
"Director, Visa Business Data Solutions","San Francisco, CA 94105 (Financial District area)",NA,Responsible for product management of Business Solutions’ products with focus on commercial data received/sent with Issuers and Partners.
Technical Business Analyst,"Emeryville, CA",NA,"Engage with multiple stakeholders, including Product, Customer Success, Engineering leadership, and Architects to ensure correct requirements are provided to…"
"Associate Director/Director, Program Management","Redwood City, CA 94063",NA,"This individual will work closely with the project leader and cross-functional teams to define project strategy to meet corporate goals, develop integrated…"
Director Program Management,"San Mateo, CA",NA,Provide active mentoring and guidance to product and program managers and BU leaders. Drives for program success while ensuring consistency and alignment across…
"Software Engineer, Back End","San Francisco, CA",NA,"As part of a cross-functional team consisting of a product manager, designer, and 4-6 software engineers and QA analysts, the senior software engineer is an…"
